event_id,fold,case_state,control_ids,control_total,control_accepted,control_abstain,control_unknown,all_known
2024-07-11T01:00:00+00:00_L,2024H2,abstain,2024-07-11T01:00:00+00:00_L::control0|2024-07-11T01:00:00+00:00_L::control1|2024-07-11T01:00:00+00:00_L::control2,3,0,3,0,True
2024-07-23T02:00:00+00:00_L,2024H2,abstain,2024-07-23T02:00:00+00:00_L::control0|2024-07-23T02:00:00+00:00_L::control1|2024-07-23T02:00:00+00:00_L::control2,3,0,3,0,True
2024-07-24T18:00:00+00:00_S,2024H2,abstain,2024-07-24T18:00:00+00:00_S::control0|2024-07-24T18:00:00+00:00_S::control1|2024-07-24T18:00:00+00:00_S::control2,3,0,3,0,True
2024-07-27T21:00:00+00:00_L,2024H2,abstain,2024-07-27T21:00:00+00:00_L::control0|2024-07-27T21:00:00+00:00_L::control1|2024-07-27T21:00:00+00:00_L::control2,3,0,3,0,True
2024-07-28T23:00:00+00:00_L,2024H2,abstain,2024-07-28T23:00:00+00:00_L::control0|2024-07-28T23:00:00+00:00_L::control1|2024-07-28T23:00:00+00:00_L::control2,3,1,2,0,True
2024-07-31T19:00:00+00:00_S,2024H2,accepted,2024-07-31T19:00:00+00:00_S::control0|2024-07-31T19:00:00+00:00_S::control1|2024-07-31T19:00:00+00:00_S::control2,3,0,3,0,True
2024-08-02T14:00:00+00:00_S,2024H2,abstain,2024-08-02T14:00:00+00:00_S::control0|2024-08-02T14:00:00+00:00_S::control1|2024-08-02T14:00:00+00:00_S::control2,3,0,3,0,True
2024-08-08T01:00:00+00:00_L,2024H2,abstain,2024-08-08T01:00:00+00:00_L::control0|2024-08-08T01:00:00+00:00_L::control1|2024-08-08T01:00:00+00:00_L::control2,3,0,3,0,True
2024-08-15T17:00:00+00:00_S,2024H2,abstain,2024-08-15T17:00:00+00:00_S::control0|2024-08-15T17:00:00+00:00_S::control1|2024-08-15T17:00:00+00:00_S::control2,3,2,1,0,True
2024-08-16T16:00:00+00:00_L,2024H2,abstain,2024-08-16T16:00:00+00:00_L::control0|2024-08-16T16:00:00+00:00_L::control1|2024-08-16T16:00:00+00:00_L::control2,3,0,3,0,True
2024-08-19T22:00:00+00:00_L,2024H2,abstain,2024-08-19T22:00:00+00:00_L::control0|2024-08-19T22:00:00+00:00_L::control1|2024-08-19T22:00:00+00:00_L::control2,3,0,3,0,True
2024-08-22T20:00:00+00:00_L,2024H2,abstain,2024-08-22T20:00:00+00:00_L::control0|2024-08-22T20:00:00+00:00_L::control1|2024-08-22T20:00:00+00:00_L::control2,3,3,0,0,True
